,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
1276,4874894.0,New building,Битца,12.0,Moscow region,1.0,36.7,11.7,12.9,16.0,9,Cosmetic
1277,175000000.0,Secondary, Пушкинская,6.0,Moscow,3.0,188.5,97.4,22.2,3.0,4,Designer
1278,6422200.0,New building,Котельники,3.0,Moscow region,1.0,39.4,11.2,19.6,20.0,17,Cosmetic
1279,8700000.0,Secondary,Нахабино,35.0,Moscow,1.0,35.4,10.1,17.0,2.0,11,Cosmetic
1280,4290000.0,Secondary,Нижегородская,12.0,Moscow,0.0,13.9,9.2,7.8,2.0,4,European-style renovation
1281,355172375.0,Secondary,Славянский бульвар,20.0,Moscow,5.0,414.0,211.4,40.9,30.0,31,Designer
1282,15500000.0,Secondary,Рассказовка,30.0,Moscow,2.0,53.7,30.5,10.0,14.0,17,European-style renovation
1283,58000000.0,Secondary,Мичуринский проспект,7.0,Moscow,4.0,146.0,90.3,20.6,11.0,12,Designer
1284,25000000.0,Secondary,Перово,19.0,Moscow,3.0,89.0,47.0,12.0,3.0,14,Cosmetic
1285,3811831.0,New building,Красногвардейская,16.0,Moscow region,0.0,21.31,12.9,8.4,2.0,20,Cosmetic
1286,32800000.0,Secondary,Фили,6.0,Moscow,3.0,76.0,40.6,12.9,29.0,42,Without renovation
1287,61988000.0,Secondary, Минская,14.0,Moscow,4.0,115.6,65.0,14.1,3.0,14,Without renovation
1288,27000000.0,Secondary,Дмитровская,7.0,Moscow,4.0,99.3,75.0,9.0,1.0,5,Designer
1289,8433570.0,New building,Братиславская,13.0,Moscow,1.0,42.81,16.4,13.2,14.0,16,Cosmetic
1290,10500000.0,Secondary,Люблино,28.0,Moscow,1.0,36.0,20.3,11.0,3.0,10,European-style renovation
1291,11100320.0,New building,Братиславская,13.0,Moscow,2.0,63.07,34.0,11.9,2.0,16,Cosmetic
1292,9000000.0,Secondary,Красный Балтиец,14.0,Moscow,0.0,22.2,13.4,8.5,3.0,7,Cosmetic
1293,15536400.0,New building,Аннино,7.0,Moscow,2.0,85.0,45.1,13.7,5.0,22,Cosmetic
1294,4250000.0,Secondary,Отрадное,16.0,Moscow,0.0,17.5,11.0,8.1,1.0,9,Cosmetic
1295,12990000.0,Secondary,Отрадное,18.0,Moscow,2.0,45.8,25.3,6.7,11.0,12,Cosmetic
1296,29590000.0,Secondary,Таганская,7.0,Moscow,2.0,73.3,38.1,10.0,2.0,12,European-style renovation
1297,9557137.0,New building,Жулебино,13.0,Moscow region,3.0,72.19,44.5,10.3,12.0,14,Cosmetic
1298,13900000.0,Secondary,Павелецкая,17.0,Moscow,0.0,21.5,10.0,5.0,18.0,9,Without renovation
1299,5637964.0,New building,Жулебино,13.0,Moscow region,2.0,50.37,27.1,9.1,5.0,14,Cosmetic
1300,11000000.0,Secondary,Новогиреево,13.0,Moscow,2.0,50.0,31.5,9.1,13.0,14,Cosmetic
1301,4200000.0,Secondary, Красногорская,36.0,Moscow region,1.0,18.3,13.0,2.3,5.0,5,Cosmetic
1302,325000000.0,Secondary, Тушинская,12.0,Moscow,6.0,500.0,300.0,50.0,1.0,4,Designer
1303,4681404.0,New building,Жулебино,14.0,Moscow region,0.0,25.05,11.8,4.1,16.0,14,Cosmetic
1304,6940487.0,New building,Красногвардейская,12.0,Moscow region,2.0,54.6,31.2,9.9,3.0,20,Cosmetic
1305,58960000.0,Secondary, Минская,12.0,Moscow,3.0,95.4,37.9,28.2,8.0,14,Without renovation
1306,130000000.0,Secondary,Ломоносовский проспект,14.0,Moscow,4.0,231.0,101.0,23.0,5.0,16,Without renovation
1307,2607300.0,New building,Алма-Атинская,13.0,Moscow region,0.0,23.43,14.0,8.6,15.0,16,Cosmetic
1308,2714880.0,New building,Красногвардейская,14.0,Moscow region,0.0,23.76,14.1,8.6,14.0,20,Cosmetic
1309,4550000.0,Secondary,Беломорская,7.0,Moscow,0.0,13.5,9.0,7.8,1.0,12,Cosmetic
1310,14621100.0,New building,Депо,19.0,Moscow,3.0,89.7,47.5,14.1,12.0,11,Cosmetic
1311,195500000.0,Secondary,Смоленская,10.0,Moscow,4.0,163.0,84.5,20.1,7.0,7,Without renovation
1312,13672800.0,New building,Братиславская,13.0,Moscow,3.0,84.4,50.7,10.0,6.0,16,Cosmetic
1313,64999999.0,Secondary,Сухаревская,7.0,Moscow,5.0,137.0,86.0,15.0,3.0,4,Designer
1314,31900000.0,Secondary,Фили,18.0,Moscow,3.0,86.4,56.0,14.0,25.0,28,Cosmetic
1315,12900000.0,Secondary,Озёрная,14.0,Moscow,2.0,46.2,32.0,6.0,2.0,5,Cosmetic
1316,9523870.0,New building,Зябликово,9.0,Moscow region,3.0,83.8,44.5,13.6,7.0,14,Cosmetic
1317,5623500.0,Secondary, Окская,14.0,Moscow,0.0,16.3,13.8,8.0,1.0,5,European-style renovation
1318,4369649.0,New building,Красногвардейская,12.0,Moscow region,0.0,27.13,16.5,8.9,3.0,20,Cosmetic
1319,7300000.0,New building,Котельники,10.0,Moscow region,2.0,54.6,31.2,9.9,17.0,17,Cosmetic
1320,8262330.0,New building,Братиславская,13.0,Moscow,1.0,42.81,23.8,10.2,3.0,16,Cosmetic
1321,5321557.0,New building,Домодедовская,8.0,Moscow region,1.0,34.34,19.5,9.5,8.0,15,Cosmetic
1322,9258644.0,New building,Красногвардейская,12.0,Moscow region,4.0,86.63,50.6,5.9,13.0,20,Cosmetic
1323,5900291.0,Secondary, Преображенская площадь,10.0,Moscow,0.0,15.7,10.1,7.9,2.0,4,European-style renovation
1324,11235380.0,New building,Депо,13.0,Moscow,2.0,54.7,23.5,19.4,19.0,11,Cosmetic
1325,9100000.0,Secondary,Бульвар Рокоссовского,18.0,Moscow,0.0,20.0,9.8,5.1,24.0,33,European-style renovation
1326,190000000.0,Secondary, Ломоносовский проспект,4.0,Moscow,3.0,105.4,55.2,14.0,4.0,8,Designer
1327,8956560.0,New building,Депо,19.0,Moscow,1.0,44.56,13.9,18.5,16.0,11,Cosmetic
